"created_time","message","id"
"2015-10-01T17:32:40+0000","I stand for Israel, God bless them! God bless a true leader Benjamin Netanyahu  for standing firm for his country and people.","10153728635196336_10153728773186336"
"2015-10-01T17:03:23+0000","Israel is killing palestinian people every day , burnig children alive and you and you are saying that you will stand with this terrorist ! shame on you all ....","10153728635196336_10153728689996336"
"2015-10-01T17:01:54+0000","Thank you, Fox News, for covering Prime Minister Netanyahu's speech before the UN.  You were the only network that covered it.  Shame on the other networks!  What a leader PM Netanyahu is!  God bless him!  Oh how I wish I could say the same about our leadership...sadly I cannot.","10153728635196336_10153728685816336"
"2015-10-01T17:05:01+0000","The United Nations is useless. It exists as a forum for world leaders to simply speak. You get a microphone and a podium and world coverage. Netanyahu speaks with passion for his people and country. What leader wouldn't? If you think too hard about that question and Obama comes to mind, you're far from alone.","10153728635196336_10153728694781336"
"2015-10-01T17:09:06+0000","Please let Prime Minister Netanyahu know that many of the American people are outraged by our President's non-support of Israel. It is shameful and many of us can't wait to get him out of office and replace him with a pro-Israel leader.","10153728635196336_10153728705851336"
"2015-10-01T17:59:24+0000","Yes, Prime Minister Netanyahu, I respect your courage, boldness, and for tellin the UN like it is!  The way they and the U.S. Have behaved toward Israel, I am sorry and ashamed to say, is sickening and disgusting!!  I am a Christian, which means I've been adopted into the family of Abraham through Christ Jesus my Lord. And when the seed of Abraham is hurt, I hurt. When God's chosen are threatened, I feel threatened! When they are bullied and ganged up on, I feel bullied and ganged up on.","10153728635196336_10153728840121336"
"2015-10-01T17:55:02+0000","That was a super and kind speech!!! Israel belongs to the world and stands up for the world. May those mislead find peace in their hearts and stop trying to be evil.","10153728635196336_10153728829056336"
"2015-10-01T16:54:50+0000","Pray for the peace of Israel. God told Israel He would bless those the bless them and curse those that curse them. I stand by Israel.","10153728635196336_10153728662271336"
"2015-10-01T18:56:01+0000","I as a Catholic American. I stand by Israel. A friend and an ally.  God bless u Israel.  What a man. Who
Stands before the world. And says it loud and clear. He will fight for his country. I admire. You. PM Netanyahu.  All. Gods graces to you and your country.","10153728635196336_10153729010646336"
"2015-10-01T16:56:22+0000","stand strong Prime Minister Benjamin Netanyahu , ..sad the world just doesnt get it...God says Israel wins","10153728635196336_10153728667756336"
"2015-10-01T23:17:27+0000","How does the world not see the utter ridiculousness of this Iran deal and the implications for Israel the U.S. And the entire world?!?!?
The Palestinians are masters with propaganda saying things like killing parents driving with their four children watching is appropriate reactions to ""Israel aggression"" are they serious? Has anyone been to Israel and actually seen how Israel treats them? They live better than they do in their own Arab countries!","10153728635196336_10153729710631336"
"2015-10-01T19:25:24+0000","Nataniyahu is our leader! The real man, who protects his people and who is still believes in  Peace! Let the world make mistakes and be destroyed like they want to! Shame on UN= United Nazis! Karma is a b! Those who think if they kiss iran's behind will live longer will learn the hard way! History will teach those who are cowards and who are still scared to stand up for the good! At the end, WW3 will played out and I don't think it's going to be fought with guns but nuclear war coming from Iran on all of us! And then no crying but it is you all who wanted it!","10153728635196336_10153729096766336"
"2015-10-01T21:18:01+0000","I stand with Israel.  Lord please keep Israel safe. Protect her from those who mean to destroy her in the name of some archaic, twisted ideology.","10153728635196336_10153729347481336"
"2015-10-01T17:43:50+0000","I am sorry prime minister Netanyahu! that we don't have a leader to guide our beautiful country but he doesn't make up for all of us United states citizens .. we love Israel and we stand with you ! praying for you and your country. The Bible says Israel will never be destroyed .... God bless you and your people","10153728635196336_10153728798766336"
"2015-10-01T16:58:19+0000","Israel I will forever stand with you, I'm saddened that we don't have a leader like Benjamin Netanyahu! 👍🏼❤️🇺🇸","10153728635196336_10153728674156336"
"2015-10-01T19:19:05+0000","that guys a lunatic and whoever approves their building anything with the word nuclear may need the help of psychiatrist this man netanyahu is trying to prevent another holacaust for his people and were just not listening and thats sad He doesnt want to have to say i told you so!!!!!!!!!!!!!!","10153728635196336_10153729080816336"
"2015-10-01T21:58:28+0000","Lord have mercy with us. It's ashamed for us as Americans because we say we're Christians but we don't live the lifestyle. I love Israel and I love My Lord and its a shame for the United States.","10153728635196336_10153729428636336"
"2015-10-01T16:55:19+0000","I will stand with Israel and Netanyahu he should be our president OBUMMER needs to hit the door and be in prison for what he has done so should Hilary but WE are going to allow them to keep doing what their doing because we are not going to be the AMERICANS we should be","10153728635196336_10153728663946336"
"2015-10-02T11:36:54+0000","That's because they are sheep. Israel defend yourself if need be protect your backyard and its people","10153728635196336_10153731132761336"
"2015-10-01T17:46:02+0000","whether our leader stands with you or not believe me that alot  of the american people do, accept the muslims in america and maybe the atheist,  We stand completely with you Mr. Netanyahu.  We are totally against the president signing the Iran deal.  We dont trust them.  We didnt have a say in this vote which i think we should have had a say,  We hate that the fact our own president signed this deal.  We are ashamed of our president and we do not support him at all.  Know we stand behind Israel and are praying for Israel's protection.","10153728635196336_10153728805336336"
"2015-10-01T18:25:30+0000","Paul Cook,why are you people so ignorant and stupid. Must everything be about Obama. Is Obama the whole world? I stand with Israel too,and I'm not stupid to think Obama is against Israel CU's he's not. However, who is Iran to threaten Israel, Israel is stronger and will not hastate to defend her people. When Israel do what she has to do against Iran in defending Israel and Obama stands in their way,then you can call him names.","10153728635196336_10153728915901336"
"2015-10-01T16:54:13+0000","I wish he was my president. amazing speech by Netanyahu at the U.N. He was very clear to the audience that he will protect Israel and asked,  who will stand with him. A true leader and protector of his country. I for one Stand with Israel.","10153728635196336_10153728660456336"
"2015-10-01T17:17:00+0000","Bibi is the only one who truly is standing for real peace and Putin and Muslim bought Obama will not stop him, the U.N. is the one's who gives terrorist legitimate right to kill Christians and Jews, they are just an extention of the arm of terrorism.  Bibi there is many around the world not represented by currupted government who will stand up and support Israel and God will know who we are when it counts.","10153728635196336_10153728728346336"
"2015-10-02T06:37:18+0000","God bless the people of Israel!  They are fighting the terror. Israel existed long before all the haters did, and they will exist long after they perish! As an American, I'm proud that part of my tax money goes to help defending the State of Israel. Haters gonna hate! Stay strong Israel!","10153728635196336_10153730828021336"
"2015-10-01T18:29:56+0000","Dismantle the United Nations, it's becoming a haven for criminals countries, I have no faith in it anymore, Netanyahu has more wisdom than all of them, when Iran finish with Israel they WILL turn on the rest of the world 
They hate Christians,Jews, and other sects of Muslims 
Obama will go down in history as the worst president and the cause of the Third World War","10153728635196336_10153728930711336"
"2015-10-01T17:03:53+0000","The United Nations is worthless.","10153728635196336_10153728691501336"
"2015-10-01T21:01:42+0000","The UN is the most CORRUPT organization....they should b kicked out of this country......good speech Netanyahu....I stand with Israel!!","10153728635196336_10153729312451336"
"2015-10-01T16:59:14+0000","Why can't the US have a leader like this??  Prime Minister please know that many Americans are mentally awake and alert and stand with you.  God be with you.","10153728635196336_10153728677296336"
"2015-10-02T04:20:30+0000","All those silent leader's we dont need them ,,, remember GIDEON Send the cowards home, This Battle belongs to GOD.  Also to Moses He said Stand and watch God handle business  ,","10153728635196336_10153730623556336"
